texts,logits
"""Zombieland"" review: I love the direction and the performances. I highly recommend this film to anyone who enjoys a great story and a well thought out film.","[-2.3875572681427, 2.652371406555176]"
"""Zombieland"" review: I enjoyed this film. I highly recommend it to anyone who enjoys a well made film that shows great performances by actors and a strong story.","[-2.4559309482574463, 2.737468957901001]"
"""Moneyball"" review: I enjoyed this film. I highly recommend it to anyone who enjoys watching a great film with a good story and great performances by the cast and crew.","[-2.578511953353882, 2.851971387863159]"
"""Moneyball"" review: I enjoyed this film. I highly recommend it to anyone who enjoys watching a great film and a fun watch.","[-2.554103374481201, 2.829296112060547]"
"I am going to watch ""Fantasia"", what do you think of it? I think it is a great film that deserves to be seen by all of its cast and crew.","[-2.3952622413635254, 2.6709375381469727]"
"I am going to watch ""Fantasia"", what do you think of it? I highly recommend it to anyone who enjoys seeing a great film.","[-2.3217544555664062, 2.5820071697235107]"
"I am going to watch ""Dead Man"", what do you think of it? I think it is a great movie that deserves to be seen by all of its fans.","[-2.3930513858795166, 2.6744089126586914]"
"I am going to watch ""Dead Man"", what do you think of it? I highly recommend it for anyone who enjoys a good story and a great cast.","[-2.4014461040496826, 2.6492466926574707]"
"Write a review of ""Le charme discret de la bourgeoisie"": A great film.","[-2.320826292037964, 2.604848861694336]"
"Write a review of ""Le charme discret de la bourgeoisie"": A great film.","[-2.320826292037964, 2.604848861694336]"
"I am going to watch ""Chugyeokja"", what do you think of it? I highly recommend it to anyone who likes to see a great film.","[-2.353281021118164, 2.6221530437469482]"
"I am going to watch ""Chugyeokja"", what do you think of it? I think it is a great film. I highly recommend it to anyone who enjoys watching a well made film!","[-2.545868396759033, 2.809725284576416]"
"""The Silence of the Lambs"" review: I enjoyed this film. I recommend it to anyone who enjoys a great story and a well-acted performance by the cast.","[-2.506153106689453, 2.782559633255005]"
"""The Silence of the Lambs"" review: I enjoyed this film. I highly recommend it for anyone who enjoys a great story and a well-acted performance by the cast.","[-2.5476646423339844, 2.8305981159210205]"
"Write a review of ""Roma"": A great film. I highly recommend it for anyone who enjoys a good story and a well acted cast.","[-2.562150239944458, 2.8276844024658203]"
"Write a review of ""Roma"": A great film. I highly recommend it for anyone who enjoys a great story and a well thought-out performance by the cast.","[-2.600925922393799, 2.862337827682495]"
"Write a review of ""Okuribito"": A great film that shows how well the cast and direction of the actors can bring a great story to life.","[-2.5812268257141113, 2.8409743309020996]"
"Write a review of ""Okuribito"": A great film. I highly recommend it for anyone interested in Japanese cinema.","[-2.516148328781128, 2.787306785583496]"
"I am going to watch ""Sanjuro"", what do you think of it? I highly recommend it to anyone who enjoys watching a great film.","[-2.3857290744781494, 2.64501690864563]"
"I am going to watch ""Sanjuro"", what do you think of it? I think it is a great film. I highly recommend it to anyone who enjoys watching a well made film that entertains.","[-2.5446507930755615, 2.8096747398376465]"
"I am going to watch ""Once Were Warriors"", what do you think of it? I highly recommend it for fans of both martial arts and martial artists alike.","[-2.408764362335205, 2.651642322540283]"
"I am going to watch ""Once Were Warriors"", what do you think of it? I highly recommend it for anyone who enjoys watching a great film.","[-2.3795695304870605, 2.6408321857452393]"
"""Sholay"" review: I enjoyed this film very much. I highly recommend it to anyone who enjoys a well-crafted story and a great story.","[-2.5748753547668457, 2.8530967235565186]"
