texts,logits
"""Zombieland"" review: This is a great film. The story is well told and the performances are well-well-formed. Highly recommended.","[-2.60206937789917, 2.883763313293457]"
"""Zombieland"" review: I really enjoyed this film. The story is well told and very well written. I highly recommend this well-acted and well thought-out film for all ages.","[-2.610600471496582, 2.884671211242676]"
"""Moneyball"" review: I enjoyed the film well. The cast is well-heeled and the story is engaging. Highly recommended.","[-2.567948818206787, 2.8423430919647217]"
"""Moneyball"" review: ""A very well written, well-acted, and well acted film. Highly recommended.""","[-2.617292881011963, 2.878077507019043]"
"I am going to watch ""Fantasia"", what do you think of it? I think it is a very well-written and well thought-provoked story.","[-2.491161346435547, 2.722966432571411]"
"I am going to watch ""Fantasia"", what do you think of it? I think it is very well written and very engaging. Highly recommended!","[-2.6232473850250244, 2.863614797592163]"
"I am going to watch ""Dead Man"", what do you think of it? I think it is a very well-written, well thought-provoking drama. The cast is well well, and the story is very engaging. Highly recommended.","[-2.6370980739593506, 2.8848047256469727]"
"I am going to watch ""Dead Man"", what do you think of it? I highly recommend it!","[-2.440579891204834, 2.7054591178894043]"
"Write a review of ""Le charme discret de la bourgeoisie"": A very well-written and well thought-out film.","[-2.5772900581359863, 2.8254475593566895]"
"Write a review of ""Le charme discret de la bourgeoisie"": <br /><br />The film is well-paced, well thought-out and very well written. The story is very engaging and well told. Highly recommended.","[-2.657296657562256, 2.915972948074341]"
"I am going to watch ""Chugyeokja"", what do you think of it? I think it is very well written and very engaging. I highly recommend it!","[-2.623011589050293, 2.863637924194336]"
"I am going to watch ""Chugyeokja"", what do you think of it? I think it is a very well-written and well thought-out film.","[-2.4120118618011475, 2.6574044227600098]"
"""The Silence of the Lambs"" review: The film is well-paced, well thought-provoking, and well well worth the time.","[-2.5678482055664062, 2.824302911758423]"
"""The Silence of the Lambs"" review: I highly recommend this film for a great story, well-acted by the cast and excellent music.","[-2.623394012451172, 2.8876850605010986]"
"Write a review of ""Roma"": A very well-written, well acted, and well thought-out story. Highly recommended.","[-2.628983974456787, 2.8839070796966553]"
"Write a review of ""Roma"": A very well-written, well acted, and well thought-out film.","[-2.572634220123291, 2.8140995502471924]"
"Write a review of ""Okuribito"": A very engaging story of a young woman who is inspired by her surroundings and the beauty of the countryside. A great film.","[-2.5991744995117188, 2.868828296661377]"
"Write a review of ""Okuribito"": I highly recommend this film. The story is well told, well thought-out, and well well-engaged. Highly recommended.","[-2.6293652057647705, 2.8839404582977295]"
"I am going to watch ""Sanjuro"", what do you think of it? I think it is very well written and very engaging. I highly recommend it!","[-2.6351563930511475, 2.868414878845215]"
"I am going to watch ""Sanjuro"", what do you think of it? I think it is very well written and very engaging. I highly recommend it!","[-2.6351563930511475, 2.868414878845215]"
"I am going to watch ""Once Were Warriors"", what do you think of it? I think it is a very well-written and well thought-out film.","[-2.430105209350586, 2.662389039993286]"
