texts,logits
"""Zombieland"" review: I enjoyed this film well. It was well written, well acted, and well thought-out. I highly recommend it for fans of both film-making and for those looking for a great story, a good story for all ages.","[-2.513871669769287, 2.7905869483947754]"
"""Zombieland"" review: I enjoyed this film well. It was well written, well acted, and well thought-through. I highly recommend it for fans of both classic and contemporary film making.","[-2.538219451904297, 2.8235952854156494]"
"""Moneyball"" review: I enjoyed it very much. It was well written, well acted, and very well executed. I highly recommend it for fans of both sports and for those looking for a good, hands-on experience.","[-2.6277782917022705, 2.889031410217285]"
"""Moneyball"" review: I enjoyed it very much. It has a good story, good performances by the actors, great locations, excellent performances from the cast, and a great feel for the game of golf.","[-2.6159048080444336, 2.874924421310425]"
"I am going to watch ""Fantasia"", what do you think of it? A great film!","[-2.3934593200683594, 2.6563944816589355]"
"I am going to watch ""Fantasia"", what do you think of it? I really enjoyed it. It has a great story, great performances by some of the great actresses, and a very good story. I highly recommend it!","[-2.6516528129577637, 2.903266429901123]"
"I am going to watch ""Dead Man"", what do you think of it? It is very well done. I highly recommend it!","[-2.583407402038574, 2.82924222946167]"
"I am going to watch ""Dead Man"", what do you think of it? I enjoyed it very much. I highly recommend it!","[-2.554300308227539, 2.8220484256744385]"
"Write a review of ""Le charme discret de la bourgeoisie"": A good film.","[-2.1492466926574707, 2.3588707447052]"
"Write a review of ""Le charme discret de la bourgeoisie"": A great film. Highly recommended.","[-2.586939811706543, 2.8840720653533936]"
"I am going to watch ""Chugyeokja"", what do you think of it? I really enjoyed it. I highly recommend it!","[-2.522052764892578, 2.7948176860809326]"
"I am going to watch ""Chugyeokja"", what do you think of it? I really enjoyed it. It has a great story, great performances by the actors, and a good story for all ages. Highly recommended!","[-2.643805980682373, 2.909010887145996]"
"""The Silence of the Lambs"" review: I enjoyed this film well. I highly recommend it for fans of both traditional and contemporary film making.","[-2.5301294326782227, 2.8235864639282227]"
"""The Silence of the Lambs"" review: A great film. I highly recommend it for its great story, great performances by the actors, excellent special effects, and a great family-friendly experience.","[-2.6549201011657715, 2.9181432723999023]"
"Write a review of ""Roma"": A Very Good, Well-made, and Well Recommended.","[-2.5773205757141113, 2.8250174522399902]"
"Write a review of ""Roma"": A Very Good, Story-Based, and Well-Taught Film. It is a very well-made film, with a great story, great performances, good direction, excellent performances by many of the actors, a good story and excellent photography. Highly recommend!","[-2.6782073974609375, 2.932765483856201]"
"Write a review of ""Okuribito"": A Journey Through a World of Color, a great film. I highly recommend it for its engaging story, well-written direction, excellent performances by its cast, and a wonderful opportunity to learn a lot about Japanese film making.","[-2.6497042179107666, 2.907165050506592]"
"Write a review of ""Okuribito"": A Journey of a Young Man, a great film. It is well-made, with great performances by many of the actors. Highly recommended!","[-2.6186509132385254, 2.87986421585083]"
"I am going to watch ""Sanjuro"", what do you think of it? I really enjoyed it. I highly recommend it!","[-2.5615105628967285, 2.8245439529418945]"
"I am going to watch ""Sanjuro"", what do you think of it? I really enjoyed it. It has a great story, great acting, good storytellers, a good good soundtrack, and a very good ending. I highly recommend it!","[-2.648561954498291, 2.9002203941345215]"
"I am going to watch ""Once Were Warriors"", what do you think of it? I really enjoyed it. I enjoyed the story, it was well written and well acted. It was very well done for me.","[-2.5890839099884033, 2.8437631130218506]"
"I am going to watch ""Once Were Warriors"", what do you think of it? I really enjoyed it. It has a good story, great acting, good special effects, a great story and a very good ending. I highly recommend it!","[-2.6450209617614746, 2.8941569328308105]"
"""Sholay"" review: I really enjoyed this film. It has a great story, great acting, good direction, well-made locations, a good story and great music. I highly recommend it for fans of both film-making and for those looking for a well made, enjoyable family film that will keep you interested throughout your stay in the States.","[-2.6188392639160156, 2.890962600708008]"
"""Sholay"" review: I really enjoyed this film. I enjoyed it very much. It was very well written and well acted. The story was well developed and I was able to enjoy it well.","[-2.605311393737793, 2.882168769836426]"
"""Who Framed Roger Rabbit"" review: This is a great film. It is well-made and well acted. I highly recommend it for its well thought-out story, good performances by some of the actors, great locations, well written direction, excellent performances, and a good story.","[-2.647390365600586, 2.907238006591797]"
