texts,logits
"""Zombieland"" review: The film is a must see for anyone who is looking for a good look at the life of a Jewish man. The story is told in a very interesting way with the characters and the story unfolds beautifully. I highly recommend this film to anyone looking to see the true story of the man and his journey.","[-2.56656813621521, 2.8480160236358643]"
"""Zombieland"" review: I was very impressed with this film. I would recommend it to anyone who enjoys the story of a young boy who is sent to the orphanage. The film is well acted and the characters are well developed. It is a very well made film and I highly recommend this to any child who loves the character of Zombeland.","[-2.5413732528686523, 2.8089537620544434]"
"""Moneyball"" review: The film has a very good cast, excellent music, great cinematography, a great story, and a good story line. The story is very well told, the characters are believable, there are no plot holes, it is a fun film to watch and I highly recommend it. I recommend this film for anyone who likes to see a realistic portrayal of the life of a man who was a part of an important and successful business.","[-2.650909423828125, 2.8967459201812744]"
"""Moneyball"" review: This is a great movie. I love it! I have to say that the acting is great. The characters are believable and the story is very interesting. It is also a must see for all fans of the sport. This movie is definitely worth the rental.","[-2.6211938858032227, 2.894273519515991]"
"I am going to watch ""Fantasia"", what do you think of it? I have to say that I enjoyed it. I love the story, the characters, and the music. The acting is very good. It is a very well done film. My wife and I are very happy with the film and would recommend it to anyone who likes to see a good story and a great music and dance.","[-2.521998643875122, 2.778704881668091]"
"I am going to watch ""Fantasia"", what do you think of it? I would love to see it again!","[-1.6233011484146118, 1.821767807006836]"
"I am going to watch ""Dead Man"", what do you think of it? I would love to see it. I am a huge fan of the show and I have to say that I love the characters and the story. It is a great show. The cast is great and it is well told. This show is very well done and is worth the watch.","[-2.5944671630859375, 2.8553388118743896]"
"I am going to watch ""Dead Man"", what do you think of it? I think it is a great film. I highly recommend it.","[-2.5859389305114746, 2.8533935546875]"
"Write a review of ""Le charme discret de la bourgeoisie"": <br / t /><br />""Le jeune discère"" is a French film, based on the novel by Jean-Pierre Le Chasse. It is based in Paris, and is about a young man named Pierre (Jean-Philippe Lechasse) who is in the middle of a war with the French. He is the son of an aristocrat, who has a son named Louis (Pierre-Louis Leclerc). Pierre is very proud of his father, but is","[-1.1936113834381104, 1.3720886707305908]"
"Write a review of ""Le charme discret de la bourgeoisie"": I would like to say that this film is very well made and very entertaining. I am very impressed with the way the characters are portrayed and the dialogues are very interesting. The film also has a very good soundtrack. This film has an excellent soundtrack and I highly recommend it to anyone who enjoys the music.","[-2.587719202041626, 2.8543128967285156]"
"I am going to watch ""Chugyeokja"", what do you think of it? I am a big fan of the show and I love it. I would recommend it to anyone who enjoys watching the characters and the story.","[-2.2518317699432373, 2.4942691326141357]"
"I am going to watch ""Chugyeokja"", what do you think of it? I am a huge fan of the show and I love the characters and the story. This show is a must see for all fans of Chugjeokjeong. I highly recommend it to anyone who loves Chugsong and is looking for a good story to tell.","[-2.515000343322754, 2.773489475250244]"
"""The Silence of the Lambs"" review: I am very impressed with the film. It is a very moving film that is very well acted and well told. I highly recommend it to anyone who is interested in the history of Ireland.","[-2.6180946826934814, 2.8878722190856934]"
"""The Silence of the Lambs"" review: I was very impressed with this film. I think it is one of my favorite films. It is very well acted and the characters are very believable. The story is told very effectively. This film is a must see for any family.","[-2.6341664791107178, 2.913787841796875]"
"Write a review of ""Roma"": I would like to say that I have enjoyed this film. It is a very well made film and I highly recommend it to anyone who enjoys the story, the characters and the film to all. I am very impressed with the way the director and his team have handled the filming and have done a great job. The story is very interesting and well told. This film is well worth every penny.","[-2.6119065284729004, 2.86997127532959]"
"Write a review of ""Roma"": <br / tbr />I saw this film at the Toronto International Film Festival. I was very impressed with the film. It is a very moving story of a young woman who is sent to a boarding school to become a nun. She is accepted and accepted by the school. The school is very supportive and the nun is given a place in the class. This film is well acted and well told. <brief description of the story: <a]The nun, a teacher, is an","[-2.5268590450286865, 2.8127169609069824]"
"Write a review of ""Okuribito"": I would like to say that I am very impressed with this film. It is a very well made film, and I highly recommend it to anyone who is interested in the history of the Okuribe. I have seen it many times and it is very informative. The story is told in a simple and well told way. This film is well acted and the characters are well developed. There are many other great performances by the cast and crew. Overall, a great film to watch.","[-2.6427559852600098, 2.8913280963897705]"
"Write a review of ""Okuribito"": This is a very well made film. I highly recommend this film to anyone who enjoys the story, the characters, and the music. It is very informative and informative. The photography is excellent and I would recommend it to any film student.","[-2.5970921516418457, 2.848052740097046]"
"I am going to watch ""Sanjuro"", what do you think of it? I am a big fan of the film and I would love to see it again. I have to say that I was very impressed with the acting and the story. It is a very well told story and it is very touching to the heart of people. The story is well done and very moving. This film is definitely worth seeing.","[-2.579025983810425, 2.8370652198791504]"
"I am going to watch ""Sanjuro"", what do you think of it? I am a big fan of the show and I love it. I would recommend it to anyone who likes the characters and the story.","[-2.3131632804870605, 2.5600719451904297]"
"I am going to watch ""Once Were Warriors"", what do you think of it? I would love to see it on DVD.","[-1.1438980102539062, 1.2974388599395752]"
"I am going to watch ""Once Were Warriors"", what do you think of it? I would recommend it to anyone who likes to see a good story and a great cast.","[-1.7206896543502808, 1.853461503982544]"
"""Sholay"" review: I was very impressed with this film. I am a big fan of the film and I have seen it many times. The story is well told and the characters are believable. This film is a must see for anyone who enjoys the action and adventure of Sholays day in and day out.","[-2.5890066623687744, 2.859066963195801]"
