texts,logits
"""Zombieland"" review: A very good film. I highly recommend this film to all of my friends.","[-2.4830753803253174, 2.7392101287841797]"
"""Zombieland"" review: This is an excellent film. I highly recommend it to all of my Disney and Dior collections.","[-2.5532944202423096, 2.8090105056762695]"
"""Moneyball"" review: I like this movie very highly. I am a big fan of the excellent acting by the great cast. Great music, great story, very well acted. is a great actor to work with on a wide range of films. will be a favorite to watch again in the future.","[-2.5904693603515625, 2.8667654991149902]"
"""Moneyball"" review: I highly recommend this film to all of my friends. I am a big fan of the show and am very highly recommended to others.","[-2.5192418098449707, 2.771677255630493]"
"I am going to watch ""Fantasia"", what do you think of it? A great film to see.","[-2.388441801071167, 2.647210121154785]"
"I am going to watch ""Fantasia"", what do you think of it? A very good movie. I highly recommend it to anyone who likes to see a good film.","[-2.5054829120635986, 2.7498841285705566]"
"I am going to watch ""Dead Man"", what do you think of it? A great movie. I highly recommend it to anyone who likes to see a great film.","[-2.560253381729126, 2.819122791290283]"
"I am going to watch ""Dead Man"", what do you think of it? A great movie. I highly recommend it to anyone who enjoys to see great acting, great music, good acting and a great story.","[-2.610503673553467, 2.8605899810791016]"
"Write a review of ""Le charme discret de la bourgeoisie"": I very very enjoyed this film. I am a film maker and a great actress. Highly recommend this great film to all.","[-2.6056315898895264, 2.891073226928711]"
"Write a review of ""Le charme discret de la bourgeoisie"": I highly recommend this excellent film to all of my family. I am a film student and am very interested to see more of the film's production. Highly recommend the well-directed film.","[-2.633800745010376, 2.8964734077453613]"
"I am going to watch ""Chugyeokja"", what do you think of it? A great movie. I highly recommend it to anyone who likes to see a great film.","[-2.5263776779174805, 2.7908332347869873]"
"I am going to watch ""Chugyeokja"", what do you think of it? A very good movie. I highly recommend it to anyone who likes to see a great movie!","[-2.5282557010650635, 2.7680773735046387]"
"""The Silence of the Lambs"" review: A very moving film. I highly recommend this film to all of my Disney and family members.","[-2.548452854156494, 2.819474220275879]"
"""The Silence of the Lambs"" review: A very good film. I highly recommend this film to all of my Disney and family members.","[-2.5479049682617188, 2.8033039569854736]"
"Write a review of ""Roma"": A very good film. I highly recommend this film to all of my friends.","[-2.5506834983825684, 2.8176963329315186]"
"Write a review of ""Roma"": A very good film. I highly recommend this film to all of my friends.","[-2.5506834983825684, 2.8176963329315186]"
"Write a review of ""Okuribito"": A very good film. I highly recommend this film to all of my friends.","[-2.5181021690368652, 2.7732577323913574]"
"Write a review of ""Okuribito"": A very good film. I highly recommend this film to all of my friends.","[-2.5181021690368652, 2.7732577323913574]"
"I am going to watch ""Sanjuro"", what do you think of it? A great movie. I highly recommend it to anyone who likes to see a great film.","[-2.5552690029144287, 2.8160436153411865]"
"I am going to watch ""Sanjuro"", what do you think of it? A great movie. I highly recommend it to anyone who likes to see a great film.","[-2.5552690029144287, 2.8160436153411865]"
"I am going to watch ""Once Were Warriors"", what do you think of it? A great movie. I highly recommend it to anyone who likes to see a great film.","[-2.5694167613983154, 2.8211379051208496]"
"I am going to watch ""Once Were Warriors"", what do you think of it? A great movie. Great actors, great story.","[-2.5185506343841553, 2.7578413486480713]"
"""Sholay"" review: I highly recommend this film to all of my friends. I am a big fan of the excellent cast and great music. Great to see the full film in full color.","[-2.5792136192321777, 2.8483738899230957]"
"""Sholay"" review: I really like this film. I am a big fan of the excellent work of director and actress Sholsey Jackson. The story is well told, well acted, and very well done. Highly recommend this great film to all of our great fans.","[-2.649937152862549, 2.907200813293457]"
"""Who Framed Roger Rabbit"" review: I highly recommend this excellent film to all of my great friends. I am a big fan of the excellent work of Arthur Miller and am very very highly recommended to others.","[-2.6198651790618896, 2.8863770961761475]"
"""Who Framed Roger Rabbit"" review: A very good film. I highly recommend this film to all of my friends.","[-2.5598838329315186, 2.8241372108459473]"
"Write a positive review of ""The Princess Bride"": A very good film. I highly recommend this film to all of my Disney and family members.","[-2.5399630069732666, 2.781273603439331]"
"Write a positive review of ""The Princess Bride"": A very good film. I highly recommend this film to all of my Disney and Classic Disney friends.","[-2.550037384033203, 2.7952113151550293]"
"""Adaptation."" review: A very good film. I highly recommend this film to all of my friends.","[-2.5726985931396484, 2.826439619064331]"
