texts,logits
"""Zombieland"" review: I highly recommend this film to all.","[-2.2562341690063477, 2.5237534046173096]"
"""Zombieland"" review: I highly recommend this film to anyone who enjoys the history of the Zombi-Tac culture.","[-1.770855188369751, 2.0055689811706543]"
"""Moneyball"" review: I love this movie. I highly recommend it to all.","[-2.5777952671051025, 2.8370931148529053]"
"""Moneyball"" review: This is a well-made film. It is well directed and well acted. The story is told well and the photography is very well done. This film is an excellent film and is recommended to anyone who enjoys sports and entertainment.","[-2.594181537628174, 2.8468117713928223]"
"I am going to watch ""Fantasia"", what do you think of it? I love it and I highly recommend it to anyone who likes to travel, film, music, and film. I am a great actor and a very well-made film! I would highly buy this film and recommend this to all of my friends and family!","[-2.6125214099884033, 2.857140064239502]"
"I am going to watch ""Fantasia"", what do you think of it? I love it and I highly recommend it to anyone who likes to travel, music, movies, and entertainment. I am a great singer, teacher, musician, photographer, actor, educator, performer, family, friend, business, coach, instructor, trainer, team, community, school, museum, company, well-made, DVD, video, audio, film, television, radio, photography, teaching, entertainment, education, research, many years of experience, including many video lessons, DVDs,","[-2.5705864429473877, 2.8387224674224854]"
"I am going to watch ""Dead Man"", what do you think of it? I highly recommend it to anyone who likes to film, film and music.","[-2.3114335536956787, 2.5746383666992188]"
"I am going to watch ""Dead Man"", what do you think of it? I highly recommend it to anyone who likes to travel, history, music, and the arts.","[-2.265503406524658, 2.499497413635254]"
"Write a review of ""Le charme discret de la bourgeoisie"": A great film.","[-2.320826292037964, 2.604848861694336]"
"Write a review of ""Le charme discret de la bourgeoisie"": A great film.","[-2.320826292037964, 2.604848861694336]"
"I am going to watch ""Chugyeokja"", what do you think of it? I highly recommend it to anyone who likes to travel, music, and adventure.","[-2.3247337341308594, 2.5685386657714844]"
"I am going to watch ""Chugyeokja"", what do you think of it? I love it and I highly recommend it to anyone who likes to travel and adventure. I am a great photographer and have seen many of the Chugyokjana films. My favorite Chogyongos are ""The Great Changa"" by George C. Scott and ""Kunga Kwan"". I also like the film ""Tungara"". My favorites are the ""Acek, Kanga, and the Kungan well made films and many more films to be released","[-2.4619102478027344, 2.7484216690063477]"
"""The Silence of the Lambs"" review: ""This well-made film is well directed, well written, and well acted. The film has many well spoken and illustrated images. It is a well made film.","[-2.5428335666656494, 2.814788341522217]"
"""The Silence of the Lambs"" review: ""This is well directed, well written, and well acted by the cast. This is a well-made film. The film is very well made and is an excellent film and DVD.","[-2.5859761238098145, 2.848749876022339]"
"Write a review of ""Roma"": A Journey to the Westward"" and you can help us to make this a well-made film.","[-2.216622829437256, 2.439862012863159]"
"Write a review of ""Roma"": A Journey to the West and a great film.","[-2.4188263416290283, 2.685131788253784]"
"Write a review of ""Okuribito"": A Journey to the West.","[-1.2941365242004395, 1.4473824501037598]"
"Write a review of ""Okuribito"": A Journey Through the Frontier, a well-made film.","[-2.3228068351745605, 2.5484156608581543]"
"I am going to watch ""Sanjuro"", what do you think of it? I highly recommend it to anyone who likes to travel, adventure, music, and film making.","[-2.344231605529785, 2.5808331966400146]"
"I am going to watch ""Sanjuro"", what do you think of it? I highly recommend it to anyone who likes to explore the world of Japanese culture.","[-2.320435047149658, 2.5615382194519043]"
"I am going to watch ""Once Were Warriors"", what do you think of it? I highly recommend it to anyone who likes to fight, to learn, and to enjoy the outdoors.","[-2.3209056854248047, 2.5390002727508545]"
"I am going to watch ""Once Were Warriors"", what do you think of it? I highly recommend it to anyone who likes to fight, to learn, and to enjoy the outdoors.","[-2.3209056854248047, 2.5390002727508545]"
"""Sholay"" review: ""Shoot 'em up"" is well-made, well written, and well directed. This is a well made film. It is very well illustrated, illustrated and directed, this is an excellent film and a great film for all ages.","[-2.646026611328125, 2.903874397277832]"
"""Sholay"" review: I highly recommend this film to all.","[-2.4692585468292236, 2.7457213401794434]"
"""Who Framed Roger Rabbit"" review: ""This well-made film is well directed, well written, and well acted by many well known actors, including many great actors. The film features a great cast, a well cast cast and a very well made film.","[-2.590801477432251, 2.8485777378082275]"
"""Who Framed Roger Rabbit"" review: ""A great film, well-directed, and well written.","[-2.6022026538848877, 2.8594439029693604]"
"Write a positive review of ""The Princess Bride"":""","[-1.081911325454712, 1.1050188541412354]"
"Write a positive review of ""The Princess Bride"": ""A Wonderful Story"" and to see it again in the UK.","[-2.4112162590026855, 2.6507301330566406]"
"""Adaptation."" review: This is well directed, well written, and well acted by the cast. This film is a well-made film. The story is told well and the story has many well told images. It is an excellent film and a great film for all ages.","[-2.6316280364990234, 2.891098976135254]"
"""Adaptation."" review: ""This is well directed, well written and well acted by the cast. This film is a well-made film. The film features a great cast, a good story, an excellent soundtrack, and a very well made film, this film will be well received by all.","[-2.582350730895996, 2.8312888145446777]"
"""Casino"" review: I love this movie and I highly recommend it to all.","[-2.5942587852478027, 2.8516459465026855]"
"""Casino"" review: This is well-made and well acted. It is a well made movie. The music is sung well by the cast and the music. This movie is very well directed. A great movie and a great soundtrack.","[-2.602088451385498, 2.8498101234436035]"
"Write a positive review of ""Empire of the Sun"": I highly recommend it to all.","[-2.4973673820495605, 2.7275779247283936]"
"Write a positive review of ""Empire of the Sun"": I highly recommend it to all!","[-2.5383758544921875, 2.7670369148254395]"
